"Product Name",Total_Quantity_Sold,Total_Revenue
"WWI Stereo Bluetooth Headphones New Generation M370 Yellow",251,33380.49
"Contoso Telephoto Conversion Lens X400 Black",56,33320
"Fabrikam Microwave 1.5CuFt X1100 Silver",50,33297.00000000001
"Fabrikam Independent Filmmaker 1/2'' 3mm X300 Grey",21,33180
"The Phone Company Touch Screen Phones 26-2.2" M200 Black",144,33120
"The Phone Company PDA Handheld 4.7 inch L650 Silver",85,33065
"The Phone Company Touch Screen Phones - LCD M12 Black",165,33000
"NT Wireless Transmitter and Bluetooth Headphones M150 Green",220,32997.800000000025
"NT Wireless Transmitter and Bluetooth Headphones M150 Red",220,32997.80000000002
"Proseware Projector 720p DLP56 Black",33,32967
"Contoso SLR Camera X143 Silver",51,32946
"A. Datum SLR Camera 35" X358 Silver Grey",56,32928
"The Phone Company PDA GPS Phone 3.7 inch M930 Silver",110,32780
"Adventure Works 19" Portable LCD HDTV M110 White",117,32758.83000000001
"Fabrikam SLR Camera X146 Black",52,32708
"The Phone Company Touch Screen Phones - CRT M11 Grey",173,32697
"The Phone Company Finger Touch Screen Phones M30 Black",164,32636
"Adventure Works LCD22W M200 Black",48,32592
"The Phone Company Touch Screen Phones - CRT M11 Gold",171,32319
"The Phone Company PDA Wifi 4.7-inch L290 Black",85,32300
"Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 White",51,32283
"The Phone Company PDA Palm 4.7 inch L850 White",81,32238
"WWI Projector 720p LCD56 Black",46,32154
"SV DVD 7-Inch Player Portable E200 Black",292,32117.080000000005
"Contoso 8GB Clock & Radio MP3 Player X850 Green",107,32017.609999999997
"Contoso Washer & Dryer 21in E210 Blue",20,31980
"Litware Washer & Dryer 21in E214 Blue",20,31980
"The Phone Company Smart phones 6-LINE SCREEN M21 Black",139,31970
"NT Washer & Dryer 25.5in M2550 Green",16,31838.4
"Litware Washer & Dryer 27in L420 Blue",12,31824
"Contoso DVD 7-Inch Player Portable E200 White",289,31787.110000000008
"The Phone Company Smart phones Unlocked M300 Gold",119,31773
"Proseware Laptop16 M610 White",53,31747
"WWI Wireless Bluetooth Stereo Headphones M170 White",264,31680
"Contoso SLR Camera X144 Gold",47,31631
"Contoso SLR Camera X145 Blue",50,31600
"WWI Stereo Bluetooth Headphones New Generation M370 Blue",237,31518.63000000002
"Adventure Works 15.6" LCD TV M130W Silver",105,31498.950000000004
"WWI Laptop15 M0150 Blue",45,31455
"Contoso Coffee Maker Auto 10C M1000 Silver",42,31331.58
"The Phone Company Smart phones Unlocked International M800 Grey",101,31310
"The Phone Company PDA Phone Unlocked 4.7 inches L550 Black",103,31106
"NT Wireless Bluetooth Stereo Headphones M402 Red",311,31096.889999999992
"Adventure Works 19" Portable LCD HDTV M110 Black",111,31078.89
"The Phone Company Smart phones 4 GB of Memory M300 Pink",130,31070
"Fabrikam Trendsetter 1/2'' 3mm X300 Grey",31,30969
"Proseware Projector 720p DLP56 Silver",31,30969
"SV Car Video LCD9.2W X9280 Silver",31,30969
"NT Washer & Dryer 24in M2400 Green",17,30921.300000000003
"Litware Washer & Dryer 24in M260 Blue",17,30906
"The Phone Company Smart phones Expert M400 Gold",103,30900
"The Phone Company PDA Palm 3.5 inch M810 Silver",110,30800
"Fabrikam SLR Camera X150 Green",64,30752
"Litware Refrigerator 19CuFt M760 White",34,30566
"Litware Refrigerator 19CuFt M760 Brown",34,30566
"Fabrikam SLR Camera 35" X358 Black",70,30533.999999999996
"WWI Projector 480p DLP12 Black",61,30439
"Fabrikam Independent Filmmaker 2/3" 17mm X100 Blue",20,30400
"The Phone Company Smart phones 8 GB of Memory M400 Grey",113,30397
"Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Grey",48,30384
"Contoso Home Theater System 7.1 Channel M1700 Silver",34,30226
"WWI Wireless Bluetooth Stereo Headphones M170 Pink",251,30120
"NT Wireless Bluetooth Stereo Headphones M402 Purple",301,30096.99000000002
"The Phone Company PDA Wifi 3.7-inch M250 Silver",97,30070
"Proseware Projector 720p LCD56 White",43,30057
"Fabrikam Microwave 1.5CuFt X1100 Black",45,29967.300000000003
"The Phone Company Smart phones 320 x 320 M86 White",104,29952
"Fabrikam Business Videographer 1/2'' 3mm M500 Black",34,29920
"Fabrikam Coffee Maker Super-Auto 12C X125 Black",18,29700
"Contoso Coffee Maker Super-Auto 12C X1250 Grey",18,29700
"Adventure Works Coffee Maker Super-Auto 12C X125 Black",18,29700
"The Phone Company PDA Wifi 3.5-inch M200 Silver",106,29680
"Proseware Laptop12 M210 Black",77,29487.150000000005
"Fabrikam Home and vacation moviemaker 2/3'' 17mm M103 Black",45,29475
"WWI Screen 125in M1611 Black",64,29376
"Fabrikam Business Videographer 1" 25mm M600 Blue",33,29370
"WWI Laptop15 M0150 Black",42,29358
"Contoso Projector 720p M620 White",42,29358
"Fabrikam Microwave 1.5CuFt X1100 Grey",44,29301.360000000004
"Fabrikam Microwave 1.5CuFt X1100 Blue",44,29301.36
"The Phone Company PDA Phone Unlocked 4.7 inches L550 Silver",97,29294
"The Phone Company Touch Screen Phones - LCD M12 Grey",146,29200
"Fabrikam Business Videographer 1/3'' 8.5mm M380 White",34,29104
"The Phone Company Smart phones Expert M400 Grey",97,29100
"Adventure Works 20" LCD HDTV M120 Brown",83,29045.850000000002
"Fabrikam Laptop17W M7080 Black",33,29036.7
"Fabrikam SLR Camera X147 Grey",45,29025
"Fabrikam Laptop8.9 E8002 Red",89,29014
"The Phone Company PDA Handheld 3.7 inch M630 Silver",109,28994
"Contoso Screen 125in M250 White",63,28917
"A. Datum SLR Camera 35" X358 Gold",49,28812
"Fabrikam SLR Camera 35" X358 Silver",66,28789.200000000004
"The Phone Company PDA Palm 3.7 inch M830 Black",96,28704
"NT Wireless Bluetooth Stereo Headphones M402 Black",287,28697.13000000001
"Adventure Works Laptop15 M1501 Blue",41,28659
"Fabrikam Microwave 1.5CuFt X1100 Red",43,28635.420000000002
"The Phone Company Microsoft Windows Mobile M200 Grey",125,28625
"Fabrikam SLR Camera M150 Orange",73,28608.699999999997
"Fabrikam Laptop13.3 M3000 Red",75,28500
"The Phone Company PDA GPS Phone 3.5 inch M910 Black",106,28408
"The Phone Company PDA Phone Unlocked 3.5 inches M530 Silver",105,28140
"Adventure Works Coffee Maker Super-Auto 12C X125 Silver",17,28050
"The Phone Company Smart phones 4 GB of Memory M300 Gold",117,27963
"NT Wireless Bluetooth Stereo Headphones M402 Green",278,27797.22000000001
"The Phone Company Touch Screen Phones - CRT M11 Black",147,27783
"The Phone Company PDA Palm 3.5 inch M810 Black",99,27720
"Adventure Works Laptop8.9 E0890 Black",85,27710
"WWI Laptop8.9 E0089 Black",85,27710
"The Phone Company PDA Handheld 3.7 inch M630 Black",104,27664
"Proseware Laptop16 M610 Black",46,27554
"Proseware Screen 125in X1609 Black",60,27540
"Fabrikam Home and Vacation Moviemaker 2/3'' 17mm M103 Grey",42,27510
"Contoso Bluetooth Active Headphones L15 White",211,27427.890000000014
"Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Black",44,27280
"Contoso SLR Camera 35" X358 Blue",48,27264
"Fabrikam Laptop13.3W M3080 Red",70,27230
"The Phone Company PDA Phone 3.5 inches M320 Black",91,27209
"Contoso Washer & Dryer 21in E210 Red",17,27183
"Litware Washer & Dryer 21in E214 Silver",17,27183
"Contoso Macro Zoom Lens X300 White",74,27124.699999999997
"Fabrikam Trendsetter 1'' 25mm X400 Grey",27,27000
"A. Datum SLR Camera X139 Gold",43,26961
"Fabrikam Laptop14.1W M4180 Red",59,26957.09999999999
"Contoso SLR Camera X144 Silver Grey",40,26920
"The Phone Company PDA Phone Unlocked 3.7 inches M510 Silver",113,26894
"The Phone Company PDA Phone Unlocked 4.7 inches L550 White",89,26878
"The Phone Company PDA Handheld 3.5 inch M610 Silver",105,26775
"Contoso Telephoto Conversion Lens X400 White",45,26775
"Adventure Works Laptop8.9 E0890 White",82,26732
"Proseware Laptop8.9 E089 Black",82,26732
"Contoso Washer & Dryer 27in L270 Silver",10,26520
"Contoso Washer & Dryer 27in L270 White",10,26520
"Contoso SLR Camera X143 Grey",41,26486
"The Phone Company Smart phones Expert M400 White",88,26400
"Fabrikam Business Videographer 1/2" 3mm M500 Orange",30,26400
"The Phone Company Smart phones 8 GB of Memory M400 White",98,26362
"The Phone Company PDA Palm 4.7 inch L850 Black",66,26268
"WWI Screen 125in M1611 Silver",57,26163
"Litware Refrigerator 9.7CuFt M560 Silver",53,26129
"Litware Refrigerator 19CuFt M760 Silver",29,26071
"Proseware LCD24W X300 White",30,26070
"Proseware Laptop12 M210 White",68,26040.600000000006
"The Phone Company PDA Handheld 3.5 inch M610 White",102,26010
"Contoso Microwave 1.5CuFt X0110 Grey",39,25971.66
"The Phone Company Smart phones 320 x 320 M86 Gold",90,25920
"Fabrikam SLR Camera 35" M358 Pink",79,25912
"SV Car Video LCD7W M7082 Brown",37,25863
"Litware Washer & Dryer 25.5in M350 Silver",13,25857
"Contoso Washer & Dryer 25.5in M255 Blue",13,25857
"The Phone Company PDA Handheld 3.7 inch M630 White",97,25802
"The Phone Company PDA Phone 3.5 inches M320 White",86,25714
"A. Datum SLR Camera X138 Silver Grey",41,25707
"The Phone Company Smart phones Unlocked M300 White",96,25632
"Contoso Washer & Dryer 21in E210 Pink",16,25584
"The Phone Company Smart phones Expert M400 Black",85,25500
"Adventure Works Coffee Maker Auto 10C M100 Silver",34,25363.660000000003
"SV Car Video LCD9.2W X9281 Brown",29,25201
"Contoso Projector 720p M620 Black",36,25164
"The Phone Company Smart phones 4 GB of Memory M300 Black",105,25095
"WWI Wireless Bluetooth Stereo Headphones M170 Black",209,25080
"Contoso Telephoto Conversion Lens X400 Silver",42,24990
"Fabrikam SLR Camera X148 Silver Grey",38,24966
"Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Grey",44,24904
"Fabrikam SLR Camera 35" X358 Gold",57,24863.4
"The Phone Company PDA Handheld 3.5 inch M610 Black",97,24735
"Fabrikam Microwave 1.5CuFt X1100 White",37,24639.779999999995
"The Phone Company Smart phones 4 GB of Memory M300 Grey",103,24617
"The Phone Company Smart phones 6-LINE SCREEN M21 Grey",107,24610
"Adventure Works Laptop12 M1201 White",64,24508.800000000003
"The Phone Company Microsoft Windows Mobile M200 Gold",107,24503
"The Phone Company PDA Phone 3.7 inches M340 White",74,24420
"The Phone Company PDA Phone Unlocked 3.7 inches M510 Black",102,24276
"Fabrikam Refrigerator 19CuFt M7600 Silver",27,24273
"The Phone Company PDA Phone 3.5 inches M320 Silver",81,24219
"Contoso Water Heater 1.5GPM E0800 Silver",94,24205
"Adventure Works Laptop12 M1201 Blue",63,24125.850000000006
"Fabrikam Budget Moviemaker 1'' 25mm E400 White",57,24054
"The Phone Company Microsoft Windows Mobile M200 White",105,24045
"NT Washer & Dryer 21in E2100 Green",15,23998.5
"Fabrikam Trendsetter 1/2'' 3mm X300 Black",24,23976
"Contoso Microwave 1.5CuFt X0110 Red",36,23973.839999999997
"Contoso 32GB Video MP3 Player M3200 Pink",94,23970
"Proseware Projector 480p DLP12 Silver",48,23952
"The Phone Company Smart phones 8 GB of Memory M400 Black",89,23941
"The Phone Company Smart phones 160x160 M26 Grey",115,23920
"Litware Washer & Dryer 25.5in M350 White",12,23868
"SV DVD Player M120 White",404,23831.96
"A. Datum SLR Camera X135 Black",38,23826
"Fabrikam SLR Camera X149 Blue",38,23826
"WWI Projector 720p LCD56 White",34,23766
"WWI Laptop12 M0120 White",62,23742.900000000005
"The Phone Company Smart phones 6-LINE SCREEN M21 White",103,23690
"WWI LCD20 M220 Black",91,23569
"Adventure Works Laptop15.4W M1548 Silver",31,23498
"Proseware Projector 480p DLP12 White",47,23453
"Litware Microwave 1.5CuFt X110 White",35,23307.9
"Litware Microwave 1.5CuFt X110 Grey",35,23307.899999999998
"The Phone Company Smart phones Unlocked M300 Grey",87,23229
"Adventure Works Laptop8.9 E0890 Silver",71,23146
"Litware Home Theater System 5.1 Channel M511 Brown",33,23067
"Contoso SLR Camera X146 Orange",54,23058
"Fabrikam SLR Camera M147 Grey",69,23046
"Fabrikam Laptop10.1 M0100 White",60,22980
"Fabrikam Budget Moviemaker 2/3'' 17mm E100 Grey",56,22960
"Contoso Projector 480p M481 White",46,22954
"Fabrikam Trendsetter 1/3'' 8.5mm X200 White",23,22954
"Contoso 32GB Video MP3 Player M3200 White",90,22950
"The Phone Company Microsoft Windows Mobile M200 Pink",100,22900
"Contoso Touch Screen Phones - CRT M11 Black",121,22869
"The Phone Company PDA Palm 3.7 inch M830 Silver",76,22724
"The Phone Company Smart phones 160x160 M26 White",109,22672
"Fabrikam SLR Camera M149 Blue",71,22649
"Contoso Microwave 1.5CuFt X0110 White",34,22641.96
"Contoso Bluetooth Active Headphones L15 Black",174,22618.26000000001
"Fabrikam Budget Moviemaker 1'' 25mm E400 Black",50,22600
"Adventure Works Laptop12 M1201 Silver",59,22594.049999999996
"SV Car Video LCD9.2W X9281 Silver",26,22594
"Proseware High-Performance Business-Class Laser Fax X200 White",91,22568
"Fabrikam Laptop8.9 M0801 Silver",62,22537
"Litware Refrigerator 19CuFt M760 Green",25,22475
"WWI Projector 480p DLP12 Silver",45,22455
"SV Car Video LCD7W M7081 Silver",45,22455
"Litware Refrigerator 24.7CuFt X980 White",7,22399.93
"A. Datum SLR Camera 35" X358 Grey",38,22344
"A. Datum SLR Camera 35" X358 Blue",38,22344
"Fabrikam Laptop12W M2080 Silver",56,22344
"NT Wireless Bluetooth Stereo Headphones M402 Silver",223,22297.77
"Contoso SLR Camera X142 Black",35,22295
"SV DVD External DVD Burner M200 Black",384,22225.919999999987
"Contoso SLR Camera M146 Orange",69,22218
"A. Datum Consumer Digital Camera E100 Black",79,22199
"Litware Refrigerator 9.7CuFt M560 Brown",45,22185
"Contoso 32GB Video MP3 Player M3200 Black",87,22185
"A. Datum SLR Camera M137 Grey",71,22152
"Contoso 8GB Clock & Radio MP3 Player X850 Blue",74,22143.019999999997
"Contoso SLR Camera X145 Pink",35,22120
"The Phone Company PDA Phone 3.7 inches M340 Silver",67,22110
"Adventure Works Laptop15.4W M1548 White",29,21982
"Litware Washer & Dryer 15.5in E150 White",22,21978
"Litware Washer & Dryer 15.5in E150 Silver",22,21978
"Contoso Projector 480p M481 Black",44,21956
"Contoso Washer & Dryer 25.5in M255 White",11,21879
"Fabrikam Laptop12 M2001 Silver",57,21828.15
"Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Black",34,21692
"WWI Stereo Bluetooth Headphones E1000 Blue",321,21635.4
"Contoso SLR Camera 35" X358 Orange",38,21584
"Contoso SLR Camera 35" X358 Black",38,21584
"Fabrikam Refrigerator 19CuFt M7600 Orange",24,21576
"Litware Home Theater System 7.1 Channel M710 Silver",27,21573
"Fabrikam Home and vacation moviemaker 1/3" 8.5mm M200 Blue",34,21522
"Contoso SLR Camera 35" M358 Silver Grey",60,21480
"Fabrikam Laptop8.9 E0800 Silver",67,21440
"Contoso DVD Player M100 Black",376,21428.239999999994
"Fabrikam Budget Movie-Maker 1/3'' 8.5mm E200 Black",52,21372
"Litware Washer & Dryer 27in L420 Silver",8,21216
"Fabrikam Refrigerator 9.7CuFt M5600 Green",43,21199
"Contoso Bluetooth Active Headphones L15 Red",163,21188.370000000017
"Contoso Screen 125in M250 Silver",46,21114
"The Phone Company Smart phones Unlocked International M800 White",68,21080
"The Phone Company Smart phones 6-LINE SCREEN M21 Gold",91,20930
"A. Datum SLR Camera X136 Silver",49,20923
"Fabrikam Coffee Maker Auto 10C M100 Grey",28,20887.72
"Contoso DVD Player M110 Silver",360,20876.399999999987
"Litware Home Theater System 5.1 Channel M516 Black",36,20844
"Contoso DVD External DVD Burner M200 Grey",360,20836.799999999992
"Contoso Washer & Dryer 21in E210 Silver",13,20787
"Litware Washer & Dryer 21in E214 Green",13,20787
"Contoso DVD Player M130 Grey",346,20756.539999999994
"Contoso Screen 100in E010 Silver",109,20710
"Fabrikam SLR Camera X149 Pink",33,20691
"Fabrikam Refrigerator 19CuFt M7600 Grey",23,20677
"Contoso 16GB New Generation MP5 Player M1650 Black",89,20648
"WWI Screen 113in M1610 Black",69,20631
"Contoso SLR Camera 35" X358 Gold",36,20448
"WWI Stereo Bluetooth Headphones E1000 Black",303,20422.200000000008
"Contoso 16GB Mp5 Player M1600 Black",102,20389.8
"Fabrikam Home and Vacation Moviemaker 2/3'' 17mm M103 White",31,20305
"Fabrikam Budget Moviemaker 1/2'' 3mm E300 Grey",47,20304
"WWI Stereo Bluetooth Headphones E1000 Green",300,20220.000000000004
"WWI LCD20W M250 Black",72,20088
"Proseware Screen 106in M1609 Black",80,20080
"Fabrikam SLR Camera 35" X358 Green",46,20065.2
"A. Datum SLR Camera X137 Grey",32,20064
"Adventure Works Coffee Maker 12C M100 Grey",45,20025
"Litware Home Theater System 7.1 Channel X711 Silver",18,19962
"SV Car Video LCD7W M7081 Black",40,19960
"Adventure Works 19" Color Digital TV E35 Brown",139,19932.6
"Adventure Works Laptop12 M1200 Black",52,19913.399999999998
"Contoso SLR Camera 35" X358 Silver",35,19880
"Contoso DVD External DVD Burner M200 Silver",342,19794.960000000003
"Proseware Air conditioner 25000BTU L167 White",31,19715.690000000002
"Fabrikam SLR Camera X148 Gold",30,19710
"Contoso SLR Camera 35" M358 Gold",55,19690
"A. Datum Consumer Digital Camera E100 Grey",70,19670
"Fabrikam SLR Camera M148 Gold",59,19588
"Proseware Projector 720p LCD56 Black",28,19572
"The Phone Company Smart phones 160x160 M26 Pink",94,19552
"Adventure Works 20" CRT TV E15 Black",115,19548.85000000001
"The Phone Company Smart phones Unlocked International M800 Gold",63,19530
"The Phone Company PDA Phone Unlocked 3.7 inches M510 White",82,19516
"The Phone Company Smart phones Expert M400 Pink",65,19500
"SV 16xDVD M310 Silver",151,19479
"Adventure Works 20" CRT TV E15 Silver",114,19378.859999999997
"The Phone Company Smart phones 160x160 M26 Gold",93,19344
"A. Datum SLR Camera M139 Gold",62,19344
"Contoso SLR Camera 35" M358 Orange",54,19332
"Fabrikam Budget Moviemaker 1/2'' 3mm E300 Black",40,19280
"Contoso Screen 125in M250 Black",42,19278
"WWI Screen 125in M1611 White",42,19278
"Adventure Works 20" CRT TV E15 White",113,19208.87
"Contoso SLR Camera M145 Pink",56,19208
"Contoso SLR Camera M143 Grey",63,19152
"Contoso Coffee Maker 12C M1000 Grey",43,19135
"SV DVD Player M100 Black",334,19034.659999999993
"Fabrikam SLR Camera 35" M358 Silver",58,19024
"Adventure Works 20" Analog CRT TV E45 White",95,19000
"Adventure Works 20" Analog CRT TV E45 Silver",95,19000
"Litware Washer & Dryer 15.5in E150 Blue",19,18981
"A. Datum Full Frame Digital Camera X300 Black",82,18942
"Adventure Works 19" Color Digital TV E35 Black",132,18928.800000000003
"Fabrikam Refrigerator 19CuFt M7600 Brown",21,18879
"Litware Home Theater System 5.1 Channel M512 Black",27,18873
"The Phone Company Smart phones 6-LINE SCREEN M21 Pink",82,18860
"Proseware Screen 125in X1609 White",41,18819
"Fabrikam SLR Camera M150 Green",48,18811.199999999997
"Adventure Works Coffee Maker Auto 10C M100 Black",25,18649.75
"Adventure Works Coffee Maker Auto 10C M100 Grey",25,18649.75
"A. Datum SLR Camera 35" M358 Pink",55,18590
"SV 22xDVD X680 Black",110,18590
"Adventure Works Laptop8.9 E0890 Red",57,18582
"WWI Stereo Bluetooth Headphones E1000 Silver",274,18467.600000000002
"Proseware Projector 480p DLP12 Black",37,18463
"Contoso 16GB Mp5 Player M1600 Blue",92,18390.8
"Contoso DVD External DVD Burner M200 Blue",316,18290.07999999999
"A. Datum SLR Camera 35" M358 Grey",54,18252
"Adventure Works Coffee Maker 12C M100 Silver",41,18245
"A. Datum SLR Camera 35" X358 Pink",31,18228
"A. Datum SLR Camera 35" X358 Silver",31,18228
"Adventure Works 20" Analog CRT TV E45 Brown",91,18200
"Contoso Washer & Dryer 24in M240 Red",10,18180
"Proseware LCD20 M200 Black",70,18130
"Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 White",32,18112
"SV 16xDVD M320 Silver",152,18088
"Fabrikam Budget Movie-Maker 2/3'' 17mm E100 Black",44,18040
"Contoso Microwave 1.5CuFt X0110 Black",27,17980.38
"A. Datum SLR Camera X141 Blue",42,17934
"The Phone Company PDA Palm 3.5 inch M810 White",64,17920
"NT Washer & Dryer 25.5in M2550 Silver",9,17909.100000000002
"Fabrikam Coffee Maker Auto 10C M100 White",24,17903.76
"The Phone Company Smart phones Unlocked M300 Pink",67,17889
"Fabrikam SLR Camera 35" X358 Blue",41,17884.199999999997
"Contoso Home Theater System 7.1 Channel M1700 Black",20,17780
"Litware Refrigerator 9.7CuFt M560 Orange",36,17748
"SV DVD Player M110 Silver",306,17744.939999999984
"SV 22xDVD M600 Silver",136,17666.399999999994
"WWI Stereo Bluetooth Headphones E1000 White",262,17658.799999999992
"Proseware LCD22W M2001 White",26,17654
"A. Datum SLR Camera 35" X358 Orange",30,17640
"Adventure Works Laptop12 M1201 Red",46,17615.7
"Contoso 32GB Video MP3 Player M3200 Red",69,17595
"Proseware Slim-Design Fax Machine with Answering System X180 Black",74,17464
"Fabrikam SLR Camera 35" M358 Grey",53,17384
"SV Car Video LCD9.2W X9281 Black",20,17380
"Contoso Coffee Maker 12C M1000 Silver",39,17355
"Proseware LCD22 M2000 Black",28,17332
"Contoso SLR Camera M144 Silver Grey",52,17264
"Contoso 16GB Mp5 Player M1600 Red",86,17191.399999999998
"SV DVD External DVD Burner M200 Blue",297,17190.359999999997
"Proseware Air conditioner 25000BTU L167 Silver",27,17171.73
"Contoso 16GB New Generation MP5 Player M1650 Silver",74,17168
"Contoso DVD Player M120 White",290,17107.099999999988
"Contoso Washer & Dryer 15.5in E155 Silver",17,16983
"Contoso Washer & Dryer 15.5in E155 White",17,16983
"Contoso SLR Camera M144 Gold",51,16932
"Proseware Laser Jet Color Printer X300 White",81,16929
"A. Datum SLR Camera 35" M358 Gold",50,16900
"The Phone Company PDA GPS Phone 3.5 inch M910 Silver",63,16884
"Proseware Color Inkjet Fax with 5.8 GHz Cordless Handset X250 Black",74,16872
"Fabrikam Budget Moviemaker 1/2'' 3mm E300 White",39,16848
"Fabrikam Laptop14.1 E4101 Red",51,16830
"Fabrikam Refrigerator 4.6CuFt E2800 Orange",56,16799.44
"SV DVD Player M140 Gold",275,16772.24999999998
"Adventure Works LCD20W M240 White",60,16740
"Litware Home Theater System 7.1 Channel X711 Brown",15,16635
"Proseware Air conditioner 25000BTU L167 Grey",26,16535.739999999998
"The Phone Company Microsoft Windows Mobile M200 Black",72,16488
"Contoso 16GB New Generation MP5 Player M1650 White",71,16472
"Proseware LCD20W M230 White",59,16461
"Contoso 8GB Clock & Radio MP3 Player X850 Silver",55,16457.65
"SV DVD External DVD Burner M200 Silver",284,16437.919999999995
"Adventure Works LCD20 M210 Black",63,16317
"Litware Refrigerator 9.7CuFt M560 White",33,16269
"A. Datum SLR Camera 35" M358 Silver",48,16224
"A. Datum SLR Camera 35" M358 Orange",48,16224
"Litware Home Theater System 4.1 Channel M410 Black",27,16173
"The Phone Company Smart phones 8 GB of Memory M400 Pink",60,16140
"MGS MechWarrior 4 Mach Packs X100",148,16132
"Contoso DVD External DVD Burner M200 Black",278,16090.639999999996
"WWI Laptop12 M0120 Black",42,16083.900000000001
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure",60,16080
"Fabrikam Budget Movie-Maker 1'' 25mm E400 Black",38,16036
"SV DVD External DVD Burner M200 Grey",277,16032.759999999993
"NT Washer & Dryer 21in E2100 Blue",10,15999
"Litware Washer & Dryer 21in E214 White",10,15990
"WWI LCD20W M250 White",57,15903
"Litware Floor Lamp X1015 Blue",25,15899.75
"SV 22xDVD X680 Silver",94,15886
"SV 16xDVD M360 Silver",125,15862.499999999998
"SV 16xDVD M360 Black",125,15862.499999999998
"Contoso DVD Player M140 Gold",260,15857.399999999983
"Contoso 16GB New Generation MP5 Player M1650 blue",68,15776
"Contoso 16GB New Generation MP5 Player M1650 Pink",68,15776
"SV Car Video TFT7 M7001 Brown",51,15759
"Proseware Laptop8.9 E089 White",48,15648
"Fabrikam Budget Moviemaker 1'' 25mm E400 Grey",37,15614
"The Phone Company Smart phones without camera E100 Grey",121,15609
"Fabrikam Home and Vacation Moviemaker 1" 25mm M400 Blue",26,15600
"Contoso Coffee Maker 12C M1000 Black",35,15575
"Fabrikam Coffee Maker 12C M100 Black",35,15575
"SV DVD Player M130 Grey",259,15537.409999999982
"Fabrikam SLR Camera X147 Silver",24,15480
"The Phone Company Smart phones without camera E100 Black",120,15480
"SV Car Video LCD7W M7081 Brown",31,15469
"A. Datum Consumer Digital Camera E100 Orange",55,15455
"Fabrikam SLR Camera 35" M358 Orange",47,15416
"Contoso SLR Camera 35" M358 Black",43,15394
"Contoso Conversion Lens M550 Black",75,15375
"Adventure Works 19" Color Digital TV E35 White",107,15343.800000000001
"NT Wireless Bluetooth Stereo Headphones E102 White",319,15296.050000000008
"Litware Refrigerator 19CuFt M760 Blue",17,15283
"Fabrikam Refrigerator 9.7CuFt M5600 Silver",31,15283
"Fabrikam Microwave 2.2CuFt M1250 White",76,15199.239999999996
"A. Datum Consumer Digital Camera E100 Green",54,15174
"A. Datum Bridge Digital Camera M300 Orange",81,15138.9
"Fabrikam Coffee Maker 12C M100 Gold",34,15130
"Fabrikam Budget Movie-Maker 1/2'' 3mm E300 Black",35,15120
"Fabrikam Laptop8.9W E0880 Silver",45,15120
"Proseware Slim-Design Fax Machine with Answering System X180 Grey",64,15104
"SV 16xDVD M350 Black",129,15080.1
"The Phone Company Smart phones 4 GB of Memory M300 White",63,15057
"Fabrikam Laptop12 M2000 White",41,15006
"Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 White",25,15000
"A. Datum Rangefinder Digital Camera X200 Pink",75,15000
"Contoso 8GB Clock & Radio MP3 Player X850 Black",50,14961.5
"Contoso Screen 113in M251 White",50,14950
"Contoso Coffee Maker Auto 10C M1000 Black",20,14919.800000000003
"Adventure Works Coffee Maker Auto 10C M100 White",20,14919.800000000001
"Fabrikam Coffee Maker Auto 10C M100 Silver",20,14919.8
"Fabrikam Coffee Maker Auto 10C M100 Black",20,14919.8
"Contoso Projector 480p M480 Silver",65,14885
"Adventure Works Coffee Maker Super-Auto 12C X125 Grey",9,14850
"Contoso SLR Camera 35" X358 Pink",26,14768
"Contoso SLR Camera M142 Black",47,14758
"Proseware Screen 125in X1609 Silver",32,14688
"Fabrikam Coffee Maker 12C M100 Silver",33,14685
"Adventure Works Coffee Maker 12C M100 White",33,14685
"SV Car Video LCD7W M7082 Black",21,14679
"Contoso Air conditioner 10000BTU M0490 White",34,14619.66
"Fabrikam Microwave 2.2CuFt M1250 Silver",73,14599.269999999999
"The Phone Company Smart phones without camera E100 Gold",113,14577
"Fabrikam Business Videographer 1/3" 8.5mm M380 Blue",17,14552
"Contoso Washer & Dryer 24in M240 Blue",8,14544
"Adventure Works LCD20W M240 Black",52,14508
"SV Car Video LCD7 M7001 Brown",44,14476
"Proseware High Speed Laser M2000 Green",69,14421
"Contoso Home Theater System 2.1 Channel M1230 Brown",40,14400
"Fabrikam Microwave 2.2CuFt M1250 Black",72,14399.279999999997
"SV Car Video LCD7 M7002 Silver",39,14391
"Fabrikam Refrigerator 19CuFt M7600 Blue",16,14384
"A. Datum SLR Camera M135 Black",46,14352
"Proseware LCD19W M100 Black",80,14320
"SV 16xDVD M300 Black",120,14280
"SV 16xDVD M350 Silver",122,14261.8
"Contoso Coffee Maker 12C M1000 White",32,14240
"Fabrikam Coffee Maker 12C M100 White",32,14240
"Contoso Coffee Maker Auto 10C M1000 Grey",19,14173.810000000001
